,ENGAGEMENT STATUS,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Liloan, Southern Leyte",2022,2022-12,,,08-064-06-000,08-64-06-000,Liloan,Southern Leyte,Region VIII (Eastern Visayas),Municipality,4th*,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lope De Vega, Northern Samar",2022,2022-12,,,08-048-24-000,08-48-24-000,Lope De Vega,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Macrohon, Southern Leyte",2022,2022-12,,,08-064-08-000,08-64-08-000,Macrohon,Southern Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Malitbog, Southern Leyte",2022,2022-12,,,08-064-09-000,08-64-09-000,Malitbog,Southern Leyte,Region VIII (Eastern Visayas),Municipality,4th*,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Matag-Ob, Leyte",2022,2022-12,,,08-037-33-000,08-37-33-000,Matag-Ob,Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Maydolong, Eastern Samar",,,,,08-026-15-000,08-26-15-000,Maydolong,Eastern Samar,Region VIII (Eastern Visayas),Municipality,4th*,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Merida, Leyte",,,,,08-037-36-000,08-37-36-000,Merida,Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Motiong, Samar",,,,,08-060-12-000,08-60-12-000,Motiong,Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Naval, Biliran",2023,2023-01,12/06/2022,12/06/2022,08-078-08-000,08-78-08-000,Naval,Biliran,Region VIII (Eastern Visayas),Municipality,2nd,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Oras, Eastern Samar",,,,,08-026-17-000,08-26-17-000,Oras,Eastern Samar,Region VIII (Eastern Visayas),Municipality,3rd,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Padre Burgos, Southern Leyte",2021,2022-12,,,08-064-10-000,08-64-10-000,Padre Burgos,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th*,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Paranas, Samar",2022,2022-12,,,08-060-22-000,08-60-22-000,Paranas,Samar,Region VIII (Eastern Visayas),Municipality,2nd,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pastrana, Leyte",2021,2022-12,,,08-037-41-000,08-37-41-000,Pastrana,Leyte,Region VIII (Eastern Visayas),Municipality,5th*,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pintuyan, Southern Leyte",2023,2023-02,,,08-064-11-000,08-64-11-000,Pintuyan,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th*,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Quinapondan, Eastern Samar",2023,2023-01,,,08-026-18-000,08-26-18-000,Quinapondan,Eastern Samar,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Salcedo, Eastern Samar",2022,2022-12,,,08-026-19-000,08-26-19-000,Salcedo,Eastern Samar,Region VIII (Eastern Visayas),Municipality,5th*,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Francisco, Southern Leyte",2022,2022-12,11/22/2021,11/22/2021,08-064-13-000,08-64-13-000,San Francisco,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Juan, Southern Leyte",2022,2022-12,,,08-064-14-000,08-64-14-000,San Juan,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Julian, Eastern Samar",,,,,08-026-20-000,08-26-20-000,San Julian,Eastern Samar,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Miguel, Leyte",,,,,08-037-43-000,08-37-43-000,San Miguel,Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[3] With Concerns,[A] Operational,,[3] With Concerns,[A] Operational,,[4] Withdraw,[D] Withdraw,,[4] Withdraw,[D] Withdraw,,[4] Withdraw,[D] Withdraw,,[4] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Ricardo, Southern Leyte",2022,2022-12,,,08-064-15-000,08-64-15-000,San Ricardo,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Roque, Northern Samar",,,,,08-048-20-000,08-48-20-000,San Roque,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Margarita, Samar",,,,,08-060-16-000,08-60-16-000,Santa Margarita,Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Silago, Southern Leyte",,,,,08-064-16-000,08-64-16-000,Silago,Southern Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sogod, Southern Leyte",,,,,08-064-17-000,08-64-17-000,Sogod,Southern Leyte,Region VIII (Eastern Visayas),Municipality,2nd,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sulat, Eastern Samar",,,,,08-026-22-000,08-26-22-000,Sulat,Eastern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tabontabon, Leyte",,,,,08-037-46-000,08-37-46-000,Tabontabon,Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tomas Oppus, Southern Leyte",,,,,08-064-18-000,08-64-18-000,Tomas Oppus,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Victoria, Northern Samar",,,,,08-048-23-000,08-48-23-000,Victoria,Northern Samar,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Villareal, Samar",,,,,08-060-21-000,08-60-21-000,Villareal,Samar,Region VIII (Eastern Visayas),Municipality,4th*,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Zumarraga, Samar",,,,,08-060-23-000,08-60-23-000,Zumarraga,Samar,Region VIII (Eastern Visayas),Municipality,5th*,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Nunungan, Lanao del Norte",,,,,10-035-15-000,10-35-15-000,Nunungan,Lanao del Norte,Region X (Northern Mindanao),Municipality,3rd,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kapatagan, Lanao del Norte",,,,,10-035-05-000,10-35-05-000,Kapatagan,Lanao del Norte,Region X (Northern Mindanao),Municipality,2nd,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Manticao, Misamis Oriental",,,,,10-043-18-000,10-43-18-000,Manticao,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alubijid, Misamis Oriental",,,,,10-043-01-000,10-43-01-000,Alubijid,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Laguindingan, Misamis Oriental",,,,,10-043-14-000,10-43-14-000,Laguindingan,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Balingoan, Misamis Oriental",,,,,10-043-03-000,10-43-03-000,Balingoan,Misamis Oriental,Region X (Northern Mindanao),Municipality,5th,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Matanao, Davao del Sur",,,,,11-024-10-000,11-24-10-000,Matanao,Davao del Sur,Region XI (Davao Region),Municipality,2nd,R11,B,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bansalan, Davao del Sur",,,,,11-024-01-000,11-24-01-000,Bansalan,Davao del Sur,Region XI (Davao Region),Municipality,1st,R11,B,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lamut, Ifugao",,,,,14-027-05-000,14-27-05-000,Lamut,Ifugao,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Peñarrubia, Abra",,,,,14-001-17-000,14-01-17-000,Peñarrubia,Abra,Cordillera Administrative Region (CAR),Municipality,6th,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mayantoc, Tarlac",,,,,03-069-08-000,03-69-08-000,Mayantoc,Tarlac,Region III (Central Luzon),Municipality,3rd,R3,B,E,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Quezon, Nueva Ecija",,,,,03-049-22-000,03-49-22-000,Quezon,Nueva Ecija,Region III (Central Luzon),Municipality,4th,R3,B,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Manuel, Tarlac",,,,,03-069-14-000,03-69-14-000,San Manuel,Tarlac,Region III (Central Luzon),Municipality,4th,R3,B,E,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Ignacia, Tarlac",,,,,03-069-15-000,03-69-15-000,Santa Ignacia,Tarlac,Region III (Central Luzon),Municipality,2nd,R3,B,E,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gumaca, Quezon",,,,,04-056-19-000,04-56-19-000,Gumaca,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mataasnakahoy, Batangas",,,,,04-010-18-000,04-10-18-000,Mataasnakahoy,Batangas,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,Launched on August 30,[1] Operational,[A] Operational,Launched on August 30,[1] Operational,[A] Operational,Launched on August 30,[1] Operational,[A] Operational,Launched on August 30,[1] Operational,[A] Operational,Launched on August 30,[1] Operational,[A] Operational,Launched on August 30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Baco, Oriental Mindoro",,,,,17-052-01-000,17-52-01-000,Baco,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gloria, Oriental Mindoro",,,,,17-052-06-000,17-52-06-000,Gloria,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
