,,,,,,LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,DECEMBER 2024,,,JANUARY 2025,,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Pigkawayan, Cotabato",,,,,,12-047-11-000,09-83-15-000,"Pigkawayan, Cotabato",Pigkawayan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,2021,,,2022-12,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Governor Generoso, Davao Oriental",,,,,,11-025-06-000,09-83-15-000,"Governor Generoso, Davao Oriental",Governor Generoso,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,A,P,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,Waiting for LGUs update,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aloran, Misamis Occidental",,,,,,10-042-01-000,09-83-15-000,"Aloran, Misamis Occidental",Aloran,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,Processing on adding inspectors before applying,[2] Pilot Testing,[B] Developmental,Processing on adding inspectors before applying,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Sipalay, Negros Occidental",,,,,,06-045-27-000,09-83-15-000,"City of Sipalay, Negros Occidental",City of Sipalay,Negros Occidental,Region VI (Western Visayas),City,4th,R6,A,I,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Cruz, Davao del Sur",,,,,,11-024-12-000,09-83-15-000,"Santa Cruz, Davao del Sur",Santa Cruz,Davao del Sur,Region XI (Davao Region),Municipality,1st,R11,A,P,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,Waiting for LGUs update,[3] Ongoing Data Build-up,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,09-83-15-000,", ",,,,,,,A,,2021,https://bldg.ibpls.com/cityofhimamaylannegrosoccidental,https://co.ibpls.com/cityofhimamaylannegrosoccidental,2022-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
